MSA,pop2019
".Abilene, TX Metro Area","172,060"
".Akron, OH Metro Area","703,479"
".Albany, GA Metro Area","146,726"
".Albany-Lebanon, OR Metro Area","129,749"
".Albany-Schenectady-Troy, NY Metro Area","880,381"
".Albuquerque, NM Metro Area","918,018"
".Alexandria, LA Metro Area","152,037"
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","844,052"
".Altoona, PA Metro Area","121,829"
".Amarillo, TX Metro Area","265,053"
".Ames, IA Metro Area","123,351"
".Anchorage, AK Metro Area","396,317"
".Ann Arbor, MI Metro Area","367,601"
".Anniston-Oxford, AL Metro Area","113,605"
".Appleton, WI Metro Area","237,974"
".Asheville, NC Metro Area","462,680"
".Athens-Clarke County, GA Metro Area","213,750"
".Atlanta-Sandy Springs-Alpharetta, GA Metro Area","6,020,364"
".Atlantic City-Hammonton, NJ Metro Area","263,670"
".Auburn-Opelika, AL Metro Area","164,542"
".Augusta-Richmond County, GA-SC Metro Area","608,980"
".Austin-Round Rock-Georgetown, TX Metro Area","2,227,083"
".Bakersfield, CA Metro Area","900,202"
".Baltimore-Columbia-Towson, MD Metro Area","2,800,053"
".Bangor, ME Metro Area","152,148"
".Barnstable Town, MA Metro Area","212,990"
".Baton Rouge, LA Metro Area","854,884"
".Battle Creek, MI Metro Area","134,159"
".Bay City, MI Metro Area","103,126"
".Beaumont-Port Arthur, TX Metro Area","392,563"
".Beckley, WV Metro Area","115,767"
".Bellingham, WA Metro Area","229,247"
".Bend, OR Metro Area","197,692"
".Billings, MT Metro Area","181,667"
".Binghamton, NY Metro Area","238,691"
".Birmingham-Hoover, AL Metro Area","1,090,435"
".Bismarck, ND Metro Area","128,949"
".Blacksburg-Christiansburg, VA Metro Area","167,531"
".Bloomington, IL Metro Area","171,517"
".Bloomington, IN Metro Area","169,230"
".Bloomsburg-Berwick, PA Metro Area","83,194"
".Boise City, ID Metro Area","749,202"
".Boston-Cambridge-Newton, MA-NH Metro Area","4,873,019"
"..Boston, MA Metro Division","2,031,884"
"..Cambridge-Newton-Framingham, MA Metro Division","2,400,733"
"..Rockingham County-Strafford County, NH Metro Division","440,402"
".Boulder, CO Metro Area","326,196"
".Bowling Green, KY Metro Area","179,240"
".Bremerton-Silverdale-Port Orchard, WA Metro Area","271,473"
".Bridgeport-Stamford-Norwalk, CT Metro Area","943,332"
".Brownsville-Harlingen, TX Metro Area","423,163"
".Brunswick, GA Metro Area","118,779"
".Buffalo-Cheektowaga, NY Metro Area","1,127,983"
".Burlington, NC Metro Area","169,509"
".Burlington-South Burlington, VT Metro Area","220,411"
".California-Lexington Park, MD Metro Area","113,510"
".Canton-Massillon, OH Metro Area","397,520"
".Cape Coral-Fort Myers, FL Metro Area","770,577"
".Cape Girardeau, MO-IL Metro Area","96,765"
".Carbondale-Marion, IL Metro Area","135,764"
".Carson City, NV Metro Area","55,916"
".Casper, WY Metro Area","79,858"
".Cedar Rapids, IA Metro Area","273,032"
".Chambersburg-Waynesboro, PA Metro Area","155,027"
".Champaign-Urbana, IL Metro Area","226,033"
".Charleston, WV Metro Area","257,074"
".Charleston-North Charleston, SC Metro Area","802,122"
".Charlotte-Concord-Gastonia, NC-SC Metro Area","2,636,883"
".Charlottesville, VA Metro Area","218,615"
".Chattanooga, TN-GA Metro Area","565,194"
".Cheyenne, WY Metro Area","99,500"
".Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9,458,539"
"..Chicago-Naperville-Evanston, IL Metro Division","7,122,725"
"..Elgin, IL Metro Division","766,290"
"..Gary, IN Metro Division","703,428"
"..Lake County-Kenosha County, IL-WI Metro Division","866,096"
".Chico, CA Metro Area","219,186"
".Cincinnati, OH-KY-IN Metro Area","2,221,208"
".Clarksville, TN-KY Metro Area","307,820"
".Cleveland, TN Metro Area","124,942"
".Cleveland-Elyria, OH Metro Area","2,048,449"
".Coeur d'Alene, ID Metro Area","165,697"
".College Station-Bryan, TX Metro Area","264,728"
".Colorado Springs, CO Metro Area","745,791"
".Columbia, MO Metro Area","208,173"
".Columbia, SC Metro Area","838,433"
".Columbus, GA-AL Metro Area","321,048"
".Columbus, IN Metro Area","83,779"
".Columbus, OH Metro Area","2,122,271"
".Corpus Christi, TX Metro Area","429,024"
".Corvallis, OR Metro Area","93,053"
".Crestview-Fort Walton Beach-Destin, FL Metro Area","284,809"
".Cumberland, MD-WV Metro Area","97,284"
".Dallas-Fort Worth-Arlington, TX Metro Area","7,573,136"
"..Dallas-Plano-Irving, TX Metro Division","5,081,942"
"..Fort Worth-Arlington-Grapevine, TX Metro Division","2,491,194"
".Dalton, GA Metro Area","144,724"
".Danville, IL Metro Area","75,758"
".Daphne-Fairhope-Foley, AL Metro Area","223,234"
".Davenport-Moline-Rock Island, IA-IL Metro Area","379,172"
".Dayton-Kettering, OH Metro Area","807,611"
".Decatur, AL Metro Area","152,603"
".Decatur, IL Metro Area","104,009"
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area","668,365"
".Denver-Aurora-Lakewood, CO Metro Area","2,967,239"
".Des Moines-West Des Moines, IA Metro Area","699,292"
".Detroit-Warren-Dearborn, MI Metro Area","4,319,629"
"..Detroit-Dearborn-Livonia, MI Metro Division","1,749,343"
"..Warren-Troy-Farmington Hills, MI Metro Division","2,570,286"
".Dothan, AL Metro Area","149,358"
".Dover, DE Metro Area","180,786"
".Dubuque, IA Metro Area","97,311"
".Duluth, MN-WI Metro Area","288,732"
".Durham-Chapel Hill, NC Metro Area","644,367"
".East Stroudsburg, PA Metro Area","170,271"
".Eau Claire, WI Metro Area","169,304"
".El Centro, CA Metro Area","181,215"
".Elizabethtown-Fort Knox, KY Metro Area","153,928"
".Elkhart-Goshen, IN Metro Area","206,341"
".Elmira, NY Metro Area","83,456"
".El Paso, TX Metro Area","844,124"
".Enid, OK Metro Area","61,056"
".Erie, PA Metro Area","269,728"
".Eugene-Springfield, OR Metro Area","382,067"
".Evansville, IN-KY Metro Area","315,086"
".Fairbanks, AK Metro Area","96,849"
".Fargo, ND-MN Metro Area","246,145"
".Farmington, NM Metro Area","123,958"
".Fayetteville, NC Metro Area","526,719"
".Fayetteville-Springdale-Rogers, AR Metro Area","534,904"
".Flagstaff, AZ Metro Area","143,476"
".Flint, MI Metro Area","405,813"
".Florence, SC Metro Area","204,911"
".Florence-Muscle Shoals, AL Metro Area","147,970"
".Fond du Lac, WI Metro Area","103,403"
".Fort Collins, CO Metro Area","356,899"
".Fort Smith, AR-OK Metro Area","250,368"
".Fort Wayne, IN Metro Area","413,263"
".Fresno, CA Metro Area","999,101"
".Gadsden, AL Metro Area","102,268"
".Gainesville, FL Metro Area","329,128"
".Gainesville, GA Metro Area","204,441"
".Gettysburg, PA Metro Area","103,009"
".Glens Falls, NY Metro Area","125,148"
".Goldsboro, NC Metro Area","123,131"
".Grand Forks, ND-MN Metro Area","100,815"
".Grand Island, NE Metro Area","75,553"
".Grand Junction, CO Metro Area","154,210"
".Grand Rapids-Kentwood, MI Metro Area","1,077,370"
".Grants Pass, OR Metro Area","87,487"
".Great Falls, MT Metro Area","81,366"
".Greeley, CO Metro Area","324,492"
".Green Bay, WI Metro Area","322,906"
".Greensboro-High Point, NC Metro Area","771,851"
".Greenville, NC Metro Area","180,742"
".Greenville-Anderson, SC Metro Area","920,477"
".Gulfport-Biloxi, MS Metro Area","417,665"
".Hagerstown-Martinsburg, MD-WV Metro Area","288,104"
".Hammond, LA Metro Area","134,758"
".Hanford-Corcoran, CA Metro Area","152,940"
".Harrisburg-Carlisle, PA Metro Area","577,941"
".Harrisonburg, VA Metro Area","134,964"
".Hartford-East Hartford-Middletown, CT Metro Area","1,204,877"
".Hattiesburg, MS Metro Area","168,849"
".Hickory-Lenoir-Morganton, NC Metro Area","369,711"
".Hilton Head Island-Bluffton, SC Metro Area","222,195"
".Hinesville, GA Metro Area","80,994"
".Homosassa Springs, FL Metro Area","149,657"
".Hot Springs, AR Metro Area","99,386"
".Houma-Thibodaux, LA Metro Area","208,075"
".Houston-The Woodlands-Sugar Land, TX Metro Area","7,066,141"
".Huntington-Ashland, WV-KY-OH Metro Area","355,873"
".Huntsville, AL Metro Area","471,824"
".Idaho Falls, ID Metro Area","151,530"
".Indianapolis-Carmel-Anderson, IN Metro Area","2,074,537"
".Iowa City, IA Metro Area","173,105"
".Ithaca, NY Metro Area","102,180"
".Jackson, MI Metro Area","158,510"
".Jackson, MS Metro Area","594,806"
".Jackson, TN Metro Area","178,644"
".Jacksonville, FL Metro Area","1,559,514"
".Jacksonville, NC Metro Area","197,938"
".Janesville-Beloit, WI Metro Area","163,354"
".Jefferson City, MO Metro Area","151,235"
".Johnson City, TN Metro Area","203,649"
".Johnstown, PA Metro Area","130,192"
".Jonesboro, AR Metro Area","133,860"
".Joplin, MO Metro Area","179,564"
".Kahului-Wailuku-Lahaina, HI Metro Area","167,417"
".Kalamazoo-Portage, MI Metro Area","265,066"
".Kankakee, IL Metro Area","109,862"
".Kansas City, MO-KS Metro Area","2,157,990"
".Kennewick-Richland, WA Metro Area","299,612"
".Killeen-Temple, TX Metro Area","460,303"
".Kingsport-Bristol, TN-VA Metro Area","307,202"
".Kingston, NY Metro Area","177,573"
".Knoxville, TN Metro Area","869,046"
".Kokomo, IN Metro Area","82,544"
".La Crosse-Onalaska, WI-MN Metro Area","136,616"
".Lafayette, LA Metro Area","489,207"
".Lafayette-West Lafayette, IN Metro Area","233,002"
".Lake Charles, LA Metro Area","210,409"
".Lake Havasu City-Kingman, AZ Metro Area","212,181"
".Lakeland-Winter Haven, FL Metro Area","724,777"
".Lancaster, PA Metro Area","545,724"
".Lansing-East Lansing, MI Metro Area","550,391"
".Laredo, TX Metro Area","276,652"
".Las Cruces, NM Metro Area","218,195"
".Las Vegas-Henderson-Paradise, NV Metro Area","2,266,715"
".Lawrence, KS Metro Area","122,259"
".Lawton, OK Metro Area","126,415"
".Lebanon, PA Metro Area","141,793"
".Lewiston, ID-WA Metro Area","62,990"
".Lewiston-Auburn, ME Metro Area","108,277"
".Lexington-Fayette, KY Metro Area","517,056"
".Lima, OH Metro Area","102,351"
".Lincoln, NE Metro Area","336,374"
".Little Rock-North Little Rock-Conway, AR Metro Area","742,384"
".Logan, UT-ID Metro Area","142,165"
".Longview, TX Metro Area","286,657"
".Longview, WA Metro Area","110,593"
".Los Angeles-Long Beach-Anaheim, CA Metro Area","13,214,799"
"..Anaheim-Santa Ana-Irvine, CA Metro Division","3,175,692"
"..Los Angeles-Long Beach-Glendale, CA Metro Division","10,039,107"
".Louisville/Jefferson County, KY-IN Metro Area","1,265,108"
".Lubbock, TX Metro Area","322,257"
".Lynchburg, VA Metro Area","263,566"
".Macon-Bibb County, GA Metro Area","229,996"
".Madera, CA Metro Area","157,327"
".Madison, WI Metro Area","664,865"
".Manchester-Nashua, NH Metro Area","417,025"
".Manhattan, KS Metro Area","130,285"
".Mankato, MN Metro Area","101,927"
".Mansfield, OH Metro Area","121,154"
".McAllen-Edinburg-Mission, TX Metro Area","868,707"
".Medford, OR Metro Area","220,944"
".Memphis, TN-MS-AR Metro Area","1,346,045"
".Merced, CA Metro Area","277,680"
".Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","6,166,488"
"..Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division","1,952,778"
"..Miami-Miami Beach-Kendall, FL Metro Division","2,716,940"
"..West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division","1,496,770"
".Michigan City-La Porte, IN Metro Area","109,888"
".Midland, MI Metro Area","83,156"
".Midland, TX Metro Area","182,603"
".Milwaukee-Waukesha, WI Metro Area","1,575,179"
".Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3,640,043"
".Missoula, MT Metro Area","119,600"
".Mobile, AL Metro Area","429,536"
".Modesto, CA Metro Area","550,660"
".Monroe, LA Metro Area","200,261"
".Monroe, MI Metro Area","150,500"
".Montgomery, AL Metro Area","373,290"
".Morgantown, WV Metro Area","139,044"
".Morristown, TN Metro Area","142,749"
".Mount Vernon-Anacortes, WA Metro Area","129,205"
".Muncie, IN Metro Area","114,135"
".Muskegon, MI Metro Area","173,566"
".Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","496,901"
".Napa, CA Metro Area","137,744"
".Naples-Marco Island, FL Metro Area","384,902"
".Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1,934,317"
".New Bern, NC Metro Area","124,284"
".New Haven-Milford, CT Metro Area","854,757"
".New Orleans-Metairie, LA Metro Area","1,270,530"
".New York-Newark-Jersey City, NY-NJ-PA Metro Area","19,216,182"
"..Nassau County-Suffolk County, NY Metro Division","2,833,525"
"..Newark, NJ-PA Metro Division","2,167,829"
"..New Brunswick-Lakewood, NJ Metro Division","2,379,977"
"..New York-Jersey City-White Plains, NY-NJ Metro Division","11,834,851"
".Niles, MI Metro Area","153,401"
".North Port-Sarasota-Bradenton, FL Metro Area","836,995"
".Norwich-New London, CT Metro Area","265,206"
".Ocala, FL Metro Area","365,579"
".Ocean City, NJ Metro Area","92,039"
".Odessa, TX Metro Area","166,223"
".Ogden-Clearfield, UT Metro Area","683,864"
".Oklahoma City, OK Metro Area","1,408,950"
".Olympia-Lacey-Tumwater, WA Metro Area","290,536"
".Omaha-Council Bluffs, NE-IA Metro Area","949,442"
".Orlando-Kissimmee-Sanford, FL Metro Area","2,608,147"
".Oshkosh-Neenah, WI Metro Area","171,907"
".Owensboro, KY Metro Area","119,440"
".Oxnard-Thousand Oaks-Ventura, CA Metro Area","846,006"
".Palm Bay-Melbourne-Titusville, FL Metro Area","601,942"
".Panama City, FL Metro Area","174,705"
".Parkersburg-Vienna, WV Metro Area","89,339"
".Pensacola-Ferry Pass-Brent, FL Metro Area","502,629"
".Peoria, IL Metro Area","400,561"
".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6,102,434"
"..Camden, NJ Metro Division","1,243,456"
"..Montgomery County-Bucks County-Chester County, PA Metro Division","1,984,174"
"..Philadelphia, PA Metro Division","2,150,811"
"..Wilmington, DE-MD-NJ Metro Division","723,993"
".Phoenix-Mesa-Chandler, AZ Metro Area","4,948,203"
".Pine Bluff, AR Metro Area","87,804"
".Pittsburgh, PA Metro Area","2,317,600"
".Pittsfield, MA Metro Area","124,944"
".Pocatello, ID Metro Area","95,489"
".Portland-South Portland, ME Metro Area","538,500"
".Portland-Vancouver-Hillsboro, OR-WA Metro Area","2,492,412"
".Port St. Lucie, FL Metro Area","489,297"
".Poughkeepsie-Newburgh-Middletown, NY Metro Area","679,158"
".Prescott Valley-Prescott, AZ Metro Area","235,099"
".Providence-Warwick, RI-MA Metro Area","1,624,578"
".Provo-Orem, UT Metro Area","648,252"
".Pueblo, CO Metro Area","168,424"
".Punta Gorda, FL Metro Area","188,910"
".Racine, WI Metro Area","196,311"
".Raleigh-Cary, NC Metro Area","1,390,785"
".Rapid City, SD Metro Area","142,107"
".Reading, PA Metro Area","421,164"
".Redding, CA Metro Area","180,080"
".Reno, NV Metro Area","475,642"
".Richmond, VA Metro Area","1,291,900"
".Riverside-San Bernardino-Ontario, CA Metro Area","4,650,631"
".Roanoke, VA Metro Area","313,222"
".Rochester, MN Metro Area","221,921"
".Rochester, NY Metro Area","1,069,644"
".Rockford, IL Metro Area","336,116"
".Rocky Mount, NC Metro Area","145,770"
".Rome, GA Metro Area","98,498"
".Sacramento-Roseville-Folsom, CA Metro Area","2,363,730"
".Saginaw, MI Metro Area","190,539"
".St. Cloud, MN Metro Area","201,964"
".St. George, UT Metro Area","177,556"
".St. Joseph, MO-KS Metro Area","125,223"
".St. Louis, MO-IL Metro Area","2,803,228"
".Salem, OR Metro Area","433,903"
".Salinas, CA Metro Area","434,061"
".Salisbury, MD-DE Metro Area","415,726"
".Salt Lake City, UT Metro Area","1,232,696"
".San Angelo, TX Metro Area","122,027"
".San Antonio-New Braunfels, TX Metro Area","2,550,960"
".San Diego-Chula Vista-Carlsbad, CA Metro Area","3,338,330"
".San Francisco-Oakland-Berkeley, CA Metro Area","4,731,803"
"..Oakland-Berkeley-Livermore, CA Metro Division","2,824,855"
"..San Francisco-San Mateo-Redwood City, CA Metro Division","1,648,122"
"..San Rafael, CA Metro Division","258,826"
".San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,990,660"
".San Luis Obispo-Paso Robles, CA Metro Area","283,111"
".Santa Cruz-Watsonville, CA Metro Area","273,213"
".Santa Fe, NM Metro Area","150,358"
".Santa Maria-Santa Barbara, CA Metro Area","446,499"
".Santa Rosa-Petaluma, CA Metro Area","494,336"
".Savannah, GA Metro Area","393,353"
".Scranton--Wilkes-Barre, PA Metro Area","553,885"
".Seattle-Tacoma-Bellevue, WA Metro Area","3,979,845"
"..Seattle-Bellevue-Kent, WA Metro Division","3,074,865"
"..Tacoma-Lakewood, WA Metro Division","904,980"
".Sebastian-Vero Beach, FL Metro Area","159,923"
".Sebring-Avon Park, FL Metro Area","106,221"
".Sheboygan, WI Metro Area","115,340"
".Sherman-Denison, TX Metro Area","136,212"
".Shreveport-Bossier City, LA Metro Area","394,706"
".Sierra Vista-Douglas, AZ Metro Area","125,922"
".Sioux City, IA-NE-SD Metro Area","144,701"
".Sioux Falls, SD Metro Area","268,232"
".South Bend-Mishawaka, IN-MI Metro Area","323,613"
".Spartanburg, SC Metro Area","319,785"
".Spokane-Spokane Valley, WA Metro Area","568,521"
".Springfield, IL Metro Area","206,868"
".Springfield, MA Metro Area","697,382"
".Springfield, MO Metro Area","470,300"
".Springfield, OH Metro Area","134,083"
".State College, PA Metro Area","162,385"
".Staunton, VA Metro Area","123,120"
".Stockton, CA Metro Area","762,148"
".Sumter, SC Metro Area","140,466"
".Syracuse, NY Metro Area","648,593"
".Tallahassee, FL Metro Area","387,227"
".Tampa-St. Petersburg-Clearwater, FL Metro Area","3,194,831"
".Terre Haute, IN Metro Area","186,367"
".Texarkana, TX-AR Metro Area","148,761"
".The Villages, FL Metro Area","132,420"
".Toledo, OH Metro Area","641,816"
".Topeka, KS Metro Area","231,969"
".Trenton-Princeton, NJ Metro Area","367,430"
".Tucson, AZ Metro Area","1,047,279"
".Tulsa, OK Metro Area","998,626"
".Tuscaloosa, AL Metro Area","252,047"
".Twin Falls, ID Metro Area","111,290"
".Tyler, TX Metro Area","232,751"
".Urban Honolulu, HI Metro Area","974,563"
".Utica-Rome, NY Metro Area","289,990"
".Valdosta, GA Metro Area","147,292"
".Vallejo, CA Metro Area","447,643"
".Victoria, TX Metro Area","99,742"
".Vineland-Bridgeton, NJ Metro Area","149,527"
".Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","1,768,901"
".Visalia, CA Metro Area","466,195"
".Waco, TX Metro Area","273,920"
".Walla Walla, WA Metro Area","60,760"
".Warner Robins, GA Metro Area","185,409"
".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6,280,487"
"..Frederick-Gaithersburg-Rockville, MD Metro Division","1,310,235"
"..Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division","4,970,252"
".Waterloo-Cedar Falls, IA Metro Area","168,522"
".Watertown-Fort Drum, NY Metro Area","109,834"
".Wausau-Weston, WI Metro Area","163,285"
".Weirton-Steubenville, WV-OH Metro Area","116,074"
".Wenatchee, WA Metro Area","120,629"
".Wheeling, WV-OH Metro Area","138,948"
".Wichita, KS Metro Area","640,218"
".Wichita Falls, TX Metro Area","151,254"
".Williamsport, PA Metro Area","113,299"
".Wilmington, NC Metro Area","297,533"
".Winchester, VA-WV Metro Area","140,566"
".Winston-Salem, NC Metro Area","676,008"
".Worcester, MA-CT Metro Area","947,404"
".Yakima, WA Metro Area","250,873"
".York-Hanover, PA Metro Area","449,058"
".Youngstown-Warren-Boardman, OH-PA Metro Area","536,081"
".Yuba City, CA Metro Area","175,639"
".Yuma, AZ Metro Area","213,787"
.,
.Puerto Rico,"3,193,694"
.In Metropolitan Statistical Area,"3,077,600"
".Aguadilla-Isabela, PR Metro Area","289,289"
".Arecibo, PR Metro Area","174,606"
".Guayama, PR Metro Area","72,914"
".Mayagüez, PR Metro Area","94,975"
".Ponce, PR Metro Area","215,295"
".San Germán, PR Metro Area","121,464"
".San Juan-Bayamón-Caguas, PR Metro Area","2,023,227"
".Yauco, PR Metro Area","85,830"